Country,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Iceland,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.03,0.04,0.05,0.07,0.08,0.08,0.06,0.06,0.06,0.07,0.09,0.11,0.12,0.12,0.13,0.13,0.13,0.12,0.14,0.15,0.16,0.15,0.16,0.17,0.16,0.17,0.19,0.2,0.24,0.26,0.29,0.35,0.44,0.34,0.38,0.44,0.42,0.41
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,1.47,1.64,1.8,2.09,2.56,2.75,2.89,2.79,2.97,3.54,3.61,4.1,4.78,6.28,8.02,10.09,12.39,16.11,13.72,18.85,25.2,24.37,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.14,2.43,2.83,3.07,3.34,3.78,4.15,4.45,4.07,4.06,5.18,4.69,4.76,5.09,5.97,7.14,8.4,9.51,11.42,9.71,13.15,16.96,15.84,
Ireland,,,0.03,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.05,0.06,0.06,0.07,0.08,0.09,0.11,0.13,0.18,0.22,0.27,0.28,0.37,0.47,0.59,0.7,0.64,0.67,0.72,0.8,0.86,1.05,1.33,1.56,1.72,1.98,2.01,2.37,2.42,2.83,3.59,4,4.67,5.36,5.93,6.44,6.9,7.33,7.72,8.72,9.13,9.06,10.12,10.41,9.62,9.7,10.47,9.74,9.51
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,0.88,0.95,0.92,1.02,1.16,1.32,1.47,1.56,1.69,1.72,1.9,2.36,2.14,2.14,2.33,2.82,3.05,3.31,3.83,4.28,3.51,4.24,4.84,4.5,4.72
Italy,,,0.21,0.21,0.24,0.31,0.35,0.39,0.42,0.5,0.6,0.67,0.73,0.85,0.97,1.1,1.26,1.55,1.86,2.52,2.91,3.12,3.77,4.66,6.01,6.49,6.31,6.11,6.06,6.12,6.53,8.12,9.67,10.7,11.71,14.15,14.09,14.84,14.12,15.92,17.7,20.78,20.09,20.37,19.62,20,20.37,21.13,24.91,29.45,31.06,34.73,41.61,44.96,33.77,37.24,43.56,41.79,43.13
Japan,,,0.24,0.24,0.29,0.34,0.35,0.41,0.45,0.55,0.7,0.81,0.86,1.08,1.34,1.62,2,2.38,3.08,4.63,4.65,5.6,6.72,8.14,8.57,10.8,12.64,11.52,12.25,14.15,14.65,17.45,19.2,22.07,22.84,23.86,26.25,28.3,30.13,33.01,36.79,34.26,35.08,32.24,34.79,39.92,33.6,34.67,39.21,47.13,49.68,53.89,59.4,65.3,48.24,64,68.53,66.56,59.59
Korea,,,0,0,0,0,0,0,0.01,0.01,0.01,0.02,0.03,0.04,0.05,0.07,0.09,0.14,0.27,0.37,0.41,0.64,0.84,1.06,1.25,1.46,1.77,1.82,2.04,2.44,2.52,2.89,3.93,5.06,5.2,5.42,5.99,6.39,6.85,8,10.42,10.81,11.35,11.03,11.97,14.36,12.54,13.54,16.15,21.15,23.7,27.12,30.96,35.17,30.29,38.87,46.27,45.67,46.64
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.19,0.18,0.21,0.24,0.31,0.36,0.42,0.45,0.53,0.52,0.54,0.49,0.54,0.65,0.6,0.59,0.66,0.68,0.7,0.81,0.85,1.11,1.35,1.59,1.91,1.91,2.13,1.77,1.64,1.74,1.71,1.54
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,1.29,1.68,1.77,1.86,2.02,1.81,1.35,1.71,1.71,1.9,2.24,3.56,3.85,4.32,5.07,6.63,8,9.2,9.79,11.36,13.84,13.23,13.42,13.73,15.67,17.85,20.83,22.66,24.28,19.14,24.87,29.11,30.89,31.68
